[14:51:01.848] [RX] ← INFO:MSG=INA260 ready. Idle baseline: 41.0 mA, Bus voltage: 12.05 V
[14:52:41.108] [RX] ← POWER:V=12.04,A=0.039
[14:52:42.113] [RX] ← POWER:V=12.04,A=0.040
[14:52:43.120] [RX] ← POWER:V=12.04,A=0.040
[14:52:44.131] [RX] ← POWER:V=12.04,A=0.040
[14:52:45.129] [RX] ← POWER:V=12.04,A=0.040
[14:52:46.139] [RX] ← POWER:V=12.04,A=0.040
[14:52:47.139] [RX] ← POWER:V=12.04,A=0.040
[14:52:48.154] [RX] ← POWER:V=12.04,A=0.040
[14:52:49.157] [RX] ← POWER:V=12.04,A=0.040
[14:52:50.164] [RX] ← POWER:V=12.04,A=0.040
[14:52:51.164] [RX] ← POWER:V=12.04,A=0.040
[14:52:52.173] [RX] ← POWER:V=12.04,A=0.040
[14:52:53.180] [RX] ← POWER:V=12.04,A=0.040
[14:52:54.179] [RX] ← POWER:V=12.04,A=0.040
[14:52:55.185] [RX] ← POWER:V=12.04,A=0.040
[14:52:56.197] [RX] ← POWER:V=12.04,A=0.040
[14:52:57.197] [RX] ← POWER:V=12.04,A=0.040
[14:52:58.211] [RX] ← POWER:V=12.04,A=0.040
[14:52:59.213] [RX] ← POWER:V=12.04,A=0.040
[14:53:00.219] [RX] ← POWER:V=12.04,A=0.040
[14:53:01.226] [RX] ← POWER:V=12.04,A=0.040
[14:53:02.230] [RX] ← POWER:V=12.04,A=0.039
[14:53:03.242] [RX] ← POWER:V=12.04,A=0.040
[14:53:04.244] [RX] ← POWER:V=12.04,A=0.040
[14:53:05.252] [RX] ← POWER:V=12.04,A=0.039
[14:53:06.260] [RX] ← POWER:V=12.04,A=0.039
[14:53:07.266] [RX] ← POWER:V=12.04,A=0.040
[14:53:08.270] [RX] ← POWER:V=12.04,A=0.040
[14:53:09.271] [RX] ← POWER:V=12.04,A=0.040
[14:53:10.277] [RX] ← POWER:V=12.04,A=0.040
[14:53:11.283] [RX] ← POWER:V=12.04,A=0.040
[14:53:12.288] [RX] ← POWER:V=12.04,A=0.040
[14:53:13.295] [RX] ← POWER:V=12.04,A=0.040
[14:53:14.303] [RX] ← POWER:V=12.04,A=0.040
[14:53:15.309] [RX] ← POWER:V=12.04,A=0.040
[14:53:16.309] [RX] ← POWER:V=12.04,A=0.040
[14:53:17.322] [RX] ← POWER:V=12.04,A=0.039
[14:53:18.323] [RX] ← POWER:V=12.04,A=0.040
[14:53:19.329] [RX] ← POWER:V=12.04,A=0.040
[14:53:20.331] [RX] ← POWER:V=12.04,A=0.040
[14:53:21.339] [RX] ← POWER:V=12.04,A=0.040
[14:53:22.342] [RX] ← POWER:V=12.04,A=0.040
[14:53:23.349] [RX] ← POWER:V=12.04,A=0.039
[14:53:24.358] [RX] ← POWER:V=12.04,A=0.040
[14:53:25.362] [RX] ← POWER:V=12.04,A=0.040
[14:53:26.375] [RX] ← POWER:V=12.04,A=0.040
[14:53:27.379] [RX] ← POWER:V=12.04,A=0.040
[14:53:28.376] [RX] ← POWER:V=12.04,A=0.040
[14:53:29.386] [RX] ← POWER:V=12.04,A=0.040
[14:53:30.402] [RX] ← POWER:V=12.04,A=0.039
[14:53:31.396] [RX] ← POWER:V=12.04,A=0.040
[14:53:32.398] [RX] ← POWER:V=12.04,A=0.039
[14:53:33.412] [RX] ← POWER:V=12.04,A=0.040
[14:53:34.409] [RX] ← POWER:V=12.04,A=0.040
[14:53:35.416] [RX] ← POWER:V=12.04,A=0.040
[14:53:36.425] [RX] ← POWER:V=12.04,A=0.040
[14:53:37.430] [RX] ← POWER:V=12.04,A=0.040
[14:53:38.434] [RX] ← POWER:V=12.04,A=0.040
[14:53:39.445] [RX] ← POWER:V=12.04,A=0.040
[14:53:40.453] [RX] ← POWER:V=12.04,A=0.040
[14:53:41.454] [RX] ← POWER:V=12.04,A=0.040
[14:53:42.457] [RX] ← POWER:V=12.04,A=0.040
[14:53:43.468] [RX] ← POWER:V=12.04,A=0.040
[14:53:44.474] [RX] ← POWER:V=12.04,A=0.040
[14:53:45.476] [RX] ← POWER:V=12.04,A=0.040
[14:53:46.485] [RX] ← POWER:V=12.04,A=0.040
[14:53:47.489] [RX] ← POWER:V=12.04,A=0.040
[14:53:48.502] [RX] ← POWER:V=12.04,A=0.040
[14:53:49.504] [RX] ← POWER:V=12.04,A=0.040
[14:53:50.513] [RX] ← POWER:V=12.04,A=0.039
[14:53:51.515] [RX] ← POWER:V=12.04,A=0.039
[14:53:52.523] [RX] ← POWER:V=12.04,A=0.040
[14:53:53.527] [RX] ← POWER:V=12.04,A=0.040
[14:53:54.535] [RX] ← POWER:V=12.04,A=0.040
[14:53:55.534] [RX] ← POWER:V=12.04,A=0.040
[14:53:56.547] [RX] ← POWER:V=12.04,A=0.040
[14:53:56.819] [TX] → START_SNIFF
[14:53:56.829] [RX] ← INFO:MSG=Starting header scan (IDs 0x00-0x3B)...
[14:53:56.976] [RX] ← INFO:MSG=Bus wake-up pulse sent
[14:53:56.978] [RX] ← SNIFF_PROGRESS:ID=00,TOTAL=60
[14:53:57.000] [RX] ← SNIFF_PROGRESS:ID=01,TOTAL=60
[14:53:57.032] [RX] ← SNIFF_PROGRESS:ID=02,TOTAL=60
[14:53:57.054] [RX] ← SNIFF_PROGRESS:ID=03,TOTAL=60
[14:53:57.079] [RX] ← SNIFF_PROGRESS:ID=04,TOTAL=60
[14:53:57.101] [RX] ← SNIFF_PROGRESS:ID=05,TOTAL=60
[14:53:57.122] [RX] ← SNIFF_PROGRESS:ID=06,TOTAL=60
[14:53:57.145] [RX] ← SNIFF_PROGRESS:ID=07,TOTAL=60
[14:53:57.177] [RX] ← SNIFF_PROGRESS:ID=08,TOTAL=60
[14:53:57.199] [RX] ← SNIFF_PROGRESS:ID=09,TOTAL=60
[14:53:57.222] [RX] ← SNIFF_PROGRESS:ID=0A,TOTAL=60
[14:53:57.244] [RX] ← SNIFF_PROGRESS:ID=0B,TOTAL=60
[14:53:57.266] [RX] ← SNIFF_PROGRESS:ID=0C,TOTAL=60
[14:53:57.299] [RX] ← SNIFF_PROGRESS:ID=0D,TOTAL=60
[14:53:57.321] [RX] ← SNIFF_PROGRESS:ID=0E,TOTAL=60
[14:53:57.342] [RX] ← SNIFF_PROGRESS:ID=0F,TOTAL=60
[14:53:57.365] [RX] ← SNIFF_PROGRESS:ID=10,TOTAL=60
[14:53:57.389] [RX] ← SNIFF_PROGRESS:ID=11,TOTAL=60
[14:53:57.421] [RX] ← SNIFF_PROGRESS:ID=12,TOTAL=60
[14:53:57.442] [RX] ← SNIFF_PROGRESS:ID=13,TOTAL=60
[14:53:57.464] [RX] ← SNIFF_PROGRESS:ID=14,TOTAL=60
[14:53:57.486] [RX] ← SNIFF_PROGRESS:ID=15,TOTAL=60
[14:53:57.518] [RX] ← SNIFF_PROGRESS:ID=16,TOTAL=60
[14:53:57.540] [RX] ← SNIFF_PROGRESS:ID=17,TOTAL=60
[14:53:57.560] [RX] ← SNIFF_PROGRESS:ID=18,TOTAL=60
[14:53:57.583] [RX] ← SNIFF_PROGRESS:ID=19,TOTAL=60
[14:53:57.617] [RX] ← SNIFF_PROGRESS:ID=1A,TOTAL=60
[14:53:57.639] [RX] ← SNIFF_PROGRESS:ID=1B,TOTAL=60
[14:53:57.660] [RX] ← SNIFF_PROGRESS:ID=1C,TOTAL=60
[14:53:57.682] [RX] ← SNIFF_PROGRESS:ID=1D,TOTAL=60
[14:53:57.705] [RX] ← SNIFF_PROGRESS:ID=1E,TOTAL=60
[14:53:57.739] [RX] ← SNIFF_PROGRESS:ID=1F,TOTAL=60
[14:53:57.756] [RX] ← SNIFF_PROGRESS:ID=20,TOTAL=60
[14:53:57.778] [RX] ← SNIFF_PROGRESS:ID=21,TOTAL=60
[14:53:57.810] [RX] ← SNIFF_PROGRESS:ID=22,TOTAL=60
[14:53:57.832] [RX] ← SNIFF_PROGRESS:ID=23,TOTAL=60
[14:53:57.855] [RX] ← SNIFF_PROGRESS:ID=24,TOTAL=60
[14:53:57.877] [RX] ← SNIFF_PROGRESS:ID=25,TOTAL=60
[14:53:57.900] [RX] ← SNIFF_PROGRESS:ID=26,TOTAL=60
[14:53:57.924] [RX] ← SNIFF_PROGRESS:ID=27,TOTAL=60
[14:53:57.955] [RX] ← SNIFF_PROGRESS:ID=28,TOTAL=60
[14:53:57.978] [RX] ← SNIFF_PROGRESS:ID=29,TOTAL=60
[14:53:58.000] [RX] ← SNIFF_PROGRESS:ID=2A,TOTAL=60
[14:53:58.024] [RX] ← SNIFF_PROGRESS:ID=2B,TOTAL=60
[14:53:58.045] [RX] ← SNIFF_PROGRESS:ID=2C,TOTAL=60
[14:53:58.077] [RX] ← SNIFF_PROGRESS:ID=2D,TOTAL=60
[14:53:58.100] [RX] ← SNIFF_PROGRESS:ID=2E,TOTAL=60
[14:53:58.121] [RX] ← SNIFF_PROGRESS:ID=2F,TOTAL=60
[14:53:58.144] [RX] ← SNIFF_PROGRESS:ID=30,TOTAL=60
[14:53:58.166] [RX] ← SNIFF_PROGRESS:ID=31,TOTAL=60
[14:53:58.190] [RX] ← SNIFF_PROGRESS:ID=32,TOTAL=60
[14:53:58.223] [RX] ← SNIFF_PROGRESS:ID=33,TOTAL=60
[14:53:58.245] [RX] ← SNIFF_PROGRESS:ID=34,TOTAL=60
[14:53:58.266] [RX] ← SNIFF_PROGRESS:ID=35,TOTAL=60
[14:53:58.290] [RX] ← SNIFF_PROGRESS:ID=36,TOTAL=60
[14:53:58.312] [RX] ← SNIFF_PROGRESS:ID=37,TOTAL=60
[14:53:58.336] [RX] ← SNIFF_PROGRESS:ID=38,TOTAL=60
[14:53:58.360] [RX] ← SNIFF_PROGRESS:ID=39,TOTAL=60
[14:53:58.395] [RX] ← SNIFF_PROGRESS:ID=3A,TOTAL=60
[14:53:58.417] [RX] ← SNIFF_PROGRESS:ID=3B,TOTAL=60
[14:53:58.439] [RX] ← SNIFF_DONE:COUNT=0
[14:53:58.439] [RX] ← POWER:V=12.04,A=0.040
[14:53:59.448] [RX] ← POWER:V=12.04,A=0.040
[14:54:00.445] [RX] ← POWER:V=12.04,A=0.040
[14:54:01.455] [RX] ← POWER:V=12.04,A=0.040
[14:54:02.460] [RX] ← POWER:V=12.04,A=0.040
[14:54:03.469] [RX] ← POWER:V=12.04,A=0.040
[14:54:04.474] [RX] ← POWER:V=12.04,A=0.040
[14:54:05.477] [RX] ← POWER:V=12.04,A=0.040
[14:54:06.481] [RX] ← POWER:V=12.04,A=0.040
[14:54:07.488] [RX] ← POWER:V=12.04,A=0.040
[14:54:08.498] [RX] ← POWER:V=12.04,A=0.040
[14:54:09.498] [RX] ← POWER:V=12.04,A=0.040
[14:54:10.507] [RX] ← POWER:V=12.04,A=0.040
[14:54:11.516] [RX] ← POWER:V=12.04,A=0.040
[14:54:12.525] [RX] ← POWER:V=12.04,A=0.040
[14:54:13.530] [RX] ← POWER:V=12.04,A=0.040
[14:54:14.528] [RX] ← POWER:V=12.04,A=0.040
[14:54:15.534] [RX] ← POWER:V=12.04,A=0.040
[14:54:16.543] [RX] ← POWER:V=12.04,A=0.040
[14:54:17.550] [RX] ← POWER:V=12.04,A=0.040
[14:54:18.559] [RX] ← POWER:V=12.04,A=0.040
[14:54:19.568] [RX] ← POWER:V=12.04,A=0.040
[14:54:20.571] [RX] ← POWER:V=12.04,A=0.040
[14:54:21.571] [RX] ← POWER:V=12.04,A=0.040
[14:54:22.585] [RX] ← POWER:V=12.04,A=0.040
[14:54:23.591] [RX] ← POWER:V=12.04,A=0.040
[14:54:24.592] [RX] ← POWER:V=12.04,A=0.040
[14:54:25.599] [RX] ← POWER:V=12.04,A=0.040
[14:54:26.603] [RX] ← POWER:V=12.04,A=0.040
[14:54:27.606] [RX] ← POWER:V=12.04,A=0.040
[14:54:28.619] [RX] ← POWER:V=12.04,A=0.039
[14:54:29.615] [RX] ← POWER:V=12.04,A=0.040
[14:54:30.622] [RX] ← POWER:V=12.04,A=0.040
[14:54:31.635] [RX] ← POWER:V=12.04,A=0.040
[14:54:32.634] [RX] ← POWER:V=12.04,A=0.040
[14:54:33.638] [RX] ← POWER:V=12.04,A=0.040
[14:54:34.645] [RX] ← POWER:V=12.04,A=0.040
[14:54:35.649] [RX] ← POWER:V=12.04,A=0.040
[14:54:36.660] [RX] ← POWER:V=12.04,A=0.040
[14:54:37.662] [RX] ← POWER:V=12.04,A=0.040
[14:54:38.669] [RX] ← POWER:V=12.04,A=0.040
[14:54:39.677] [RX] ← POWER:V=12.04,A=0.040
[14:54:40.680] [RX] ← POWER:V=12.04,A=0.040
[14:54:41.687] [RX] ← POWER:V=12.04,A=0.040
[14:54:42.693] [RX] ← POWER:V=12.04,A=0.039
[14:54:43.697] [RX] ← POWER:V=12.04,A=0.040
[14:54:44.700] [RX] ← POWER:V=12.04,A=0.040
[14:54:45.704] [RX] ← POWER:V=12.04,A=0.040
[14:54:46.711] [RX] ← POWER:V=12.04,A=0.040
[14:54:47.718] [RX] ← POWER:V=12.04,A=0.040
[14:54:48.731] [RX] ← POWER:V=12.04,A=0.040
[14:54:49.728] [RX] ← POWER:V=12.04,A=0.040
[14:54:50.734] [RX] ← POWER:V=12.04,A=0.040
[14:54:51.738] [RX] ← POWER:V=12.04,A=0.040
[14:54:52.745] [RX] ← POWER:V=12.04,A=0.040
[14:54:53.750] [RX] ← POWER:V=12.04,A=0.040
[14:54:54.755] [RX] ← POWER:V=12.04,A=0.040
[14:54:55.769] [RX] ← POWER:V=12.04,A=0.040
[14:54:56.775] [RX] ← POWER:V=12.04,A=0.040
[14:54:57.773] [RX] ← POWER:V=12.04,A=0.040
[14:54:58.779] [RX] ← POWER:V=12.04,A=0.040
[14:54:59.792] [RX] ← POWER:V=12.04,A=0.040
[14:55:00.791] [RX] ← POWER:V=12.04,A=0.040
[14:55:01.805] [RX] ← POWER:V=12.04,A=0.040
[14:55:02.812] [RX] ← POWER:V=12.04,A=0.040
[14:55:03.809] [RX] ← POWER:V=12.04,A=0.040
[14:55:04.816] [RX] ← POWER:V=12.04,A=0.040
[14:55:05.828] [RX] ← POWER:V=12.04,A=0.040
[14:55:06.826] [RX] ← POWER:V=12.04,A=0.040
[14:55:07.839] [RX] ← POWER:V=12.04,A=0.040
[14:55:08.843] [RX] ← POWER:V=12.04,A=0.040
[14:55:09.846] [RX] ← POWER:V=12.04,A=0.040
[14:55:10.848] [RX] ← POWER:V=12.04,A=0.039
[14:55:11.860] [RX] ← POWER:V=12.04,A=0.040
[14:55:12.859] [RX] ← POWER:V=12.04,A=0.039
[14:55:13.873] [RX] ← POWER:V=12.04,A=0.040
[14:55:14.879] [RX] ← POWER:V=12.04,A=0.040
[14:55:15.881] [RX] ← POWER:V=12.04,A=0.040
[14:55:16.884] [RX] ← POWER:V=12.04,A=0.040
[14:55:17.893] [RX] ← POWER:V=12.04,A=0.040
[14:55:18.900] [RX] ← POWER:V=12.04,A=0.040
[14:55:19.898] [RX] ← POWER:V=12.04,A=0.040
[14:55:20.906] [RX] ← POWER:V=12.04,A=0.040
[14:55:21.917] [RX] ← POWER:V=12.04,A=0.040
[14:55:22.914] [RX] ← POWER:V=12.04,A=0.040
[14:55:23.927] [RX] ← POWER:V=12.04,A=0.040
[14:55:24.934] [RX] ← POWER:V=12.04,A=0.040
[14:55:25.934] [RX] ← POWER:V=12.04,A=0.040
[14:55:26.942] [RX] ← POWER:V=12.04,A=0.040
[14:55:27.944] [RX] ← POWER:V=12.04,A=0.040
[14:55:28.956] [RX] ← POWER:V=12.04,A=0.040
[14:55:29.963] [RX] ← POWER:V=12.04,A=0.040
[14:55:30.965] [RX] ← POWER:V=12.04,A=0.040
[14:55:31.973] [RX] ← POWER:V=12.04,A=0.040
[14:55:32.980] [RX] ← POWER:V=12.04,A=0.040
[14:55:33.977] [RX] ← POWER:V=12.04,A=0.039
[14:55:34.991] [RX] ← POWER:V=12.04,A=0.040
[14:55:35.998] [RX] ← POWER:V=12.04,A=0.040
[14:55:37.001] [RX] ← POWER:V=12.04,A=0.040
[14:55:38.007] [RX] ← POWER:V=12.04,A=0.040
[14:55:39.017] [RX] ← POWER:V=12.04,A=0.040
[14:55:40.022] [RX] ← POWER:V=12.04,A=0.040
[14:55:41.029] [RX] ← POWER:V=12.04,A=0.040
[14:55:42.030] [RX] ← POWER:V=12.04,A=0.040
[14:55:43.039] [RX] ← POWER:V=12.04,A=0.040
[14:55:44.040] [RX] ← POWER:V=12.04,A=0.040
[14:55:45.051] [RX] ← POWER:V=12.04,A=0.040
[14:55:46.059] [RX] ← POWER:V=12.04,A=0.040
[14:55:47.064] [RX] ← POWER:V=12.04,A=0.040
[14:55:48.064] [RX] ← POWER:V=12.04,A=0.040
[14:55:49.076] [RX] ← POWER:V=12.04,A=0.040
[14:55:50.074] [RX] ← POWER:V=12.04,A=0.040
[14:55:51.088] [RX] ← POWER:V=12.04,A=0.040
[14:55:52.092] [RX] ← POWER:V=12.04,A=0.040
[14:55:53.101] [RX] ← POWER:V=12.04,A=0.040
[14:55:54.104] [RX] ← POWER:V=12.04,A=0.040
[14:55:55.104] [RX] ← POWER:V=12.04,A=0.039
[14:55:56.112] [RX] ← POWER:V=12.04,A=0.040
[14:55:57.116] [RX] ← POWER:V=12.04,A=0.040
[14:55:58.129] [RX] ← POWER:V=12.04,A=0.040
[14:55:59.130] [RX] ← POWER:V=12.04,A=0.040
[14:56:00.134] [RX] ← POWER:V=12.04,A=0.040
[14:56:01.143] [RX] ← POWER:V=12.04,A=0.040
[14:56:02.147] [RX] ← POWER:V=12.04,A=0.040
[14:56:03.155] [RX] ← POWER:V=12.04,A=0.040
[14:56:04.159] [RX] ← POWER:V=12.04,A=0.040
[14:56:05.162] [RX] ← POWER:V=12.04,A=0.040
[14:56:06.169] [RX] ← POWER:V=12.04,A=0.040
[14:56:07.171] [RX] ← POWER:V=12.04,A=0.040
[14:56:08.177] [RX] ← POWER:V=12.04,A=0.040
[14:56:09.186] [RX] ← POWER:V=12.04,A=0.040
[14:56:10.187] [RX] ← POWER:V=12.04,A=0.040
[14:56:11.198] [RX] ← POWER:V=12.04,A=0.039
[14:56:12.199] [RX] ← POWER:V=12.04,A=0.040
